abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,query_consulta
Becoming single in midlife through death or divorce dramatically increases risk for dementia in the older years.,https://well.blogs.nytimes.com/2008/08/01/marriage-divorce-and-alzheimers-risk/,Becoming single in midlife through death or divorce dramatically increases risk for dementia in the older years.,Whether you are single or divorced in midlife appears to influence your risk of developing Alzheimer’s and other forms of dementia as you age.,,,The New York Times,[],[],2008-08-01T13:20:40+0000,article,Science,Health,,News,nyt://article/49ff9808-9086-5d4a-9dd4-32d18d1bfa02,319,nyt://article/49ff9808-9086-5d4a-9dd4-32d18d1bfa02,"Marriage, Divorce and Alzheimer’s Risk",Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Dr. Katzman redefined Alzheimer’s disease as a major public health problem and as the most frequent progressive form of dementia in aging.,https://www.nytimes.com/2008/09/24/us/24katzman.html,Dr. Katzman redefined Alzheimer’s disease as a major public health problem and as the most frequent progressive form of dementia in aging.,"Dr. Robert Katzman, the neurologist, researcher and medical activist who redefined Alzheimer’s disease as a major public health problem and as the most frequent progressive form of dementia in aging, died Sept. 16 at his home in San Diego. He was 82.",B,6,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/24/us/katzman190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/09/24/us/katzman75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/09/24/us/katzman75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Medicine and Health', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': ""Alzheimer's Disease"", 'rank': 3, 'major': 'N'}]",2008-09-24T00:15:51+0000,article,National,U.S.,,Obituary (Obit),nyt://article/5b69a977-2dc0-554c-ad9c-25e3c93cf740,792,nyt://article/5b69a977-2dc0-554c-ad9c-25e3c93cf740,"Robert Katzman, Alzheimer’s Activist, Dies at 82",,,"Robert Katzman, Alzheimer’s Activist, Dies at 82",,,,By H. Roger Segelken,"[{'firstname': 'H.', 'middlename': 'Roger', 'lastname': 'Segelken', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Common bacteria that have lived in human stomachs for generations are associated with lower rates of childhood asthma, researchers are reporting.",https://www.nytimes.com/2008/07/31/health/31iht-snvital.1.14878816.html,,"Common bacteria that have lived in human stomachs for generations are associated with lower rates of childhood asthma, researchers are reporting.",,,International Herald Tribune,[],[],2008-07-30T05:00:00+0000,article,IHT News,Health,,News,nyt://article/f54f7aba-7c79-532f-be9e-1b0d5f0c3eaa,363,nyt://article/f54f7aba-7c79-532f-be9e-1b0d5f0c3eaa,Vital Signs: Bacteria may reduce asthma rates in children,,,Vital Signs: Bacteria may reduce asthma rates in children,,,,By Bina Venkataraman,"[{'firstname': 'Bina', 'middlename': None, 'lastname': 'Venkataraman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
A meeting of former N.F.L. players to discuss health issues like dementia took place behind closed doors. But at least there was a discussion.,https://www.nytimes.com/2008/12/17/sports/football/17vecsey.html,A meeting of former N.F.L. players to discuss health issues like dementia took place behind closed doors. But at least there was a discussion.,"The wives already know the dangers from football. The wives are the ones who manage their husbands when they spin out of control, who feed them and dress them and clean them and do the paperwork and ultimately find nursing care for them.",B,10,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/17/sports/17vecsey.2.600.jpg', 'height': 358, 'width': 600, 'legacy': {'xlarge': 'images/2008/12/17/sports/17vecsey.2.600.jpg', 'xlargewidth': 600, 'xlargeheight': 358}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/12/17/sports/17vecsey.2.600.jpg', 'height': 358, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}]","[{'name': 'organizations', 'value': 'National Football League', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Goodell, Roger', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Carson, Harry', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Football', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Concussions', 'rank': 5, 'major': 'N'}]",2008-12-16T21:29:13+0000,article,Sports,Sports,Pro Football,News,nyt://article/337e52a0-fdb0-58d8-aca2-1d4f2797052f,930,nyt://article/337e52a0-fdb0-58d8-aca2-1d4f2797052f,Don’t Close the Door on the Wives of Ex-Players,Sports of The Times,,Don’t Close the Door on the Wives of Ex-Players,,,,By George Vecsey,"[{'firstname': 'George', 'middlename': None, 'lastname': 'Vecsey', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Former British Prime Minister Margaret Thatcher has dementia, her daughter says. Is it right to discuss her condition publicly?",https://newoldage.blogs.nytimes.com/2008/09/02/blogs/02newoldage-margaret59.html,"Former British Prime Minister Margaret Thatcher has dementia, her daughter says. Is it right to discuss her condition publicly?","A colleague in The Times's London bureau, Sarah Lyall, has just published a book called ""The Anglo Files: A Field Guide to the British,'' a cross-cultural look at what makes the British British, as seen though the eyes of an American expatriate with an English husband whom she describes as ""something out of 'Brideshead Revisited'.'' Given Ms. Lyall's perspective, I asked her thoughts on the recent revelation that former Prime Minister Margaret Thatcher, like President Ronald Reagan before her, is losing her mind and her memories to a form of dementia. Here are her observations, with a link to the story that is striking a chord on both sides of the Atlantic. -- Jane Gross  (Photo: President Ronald Reagan and British Prime Minister Margaret Thatcher in 1984. Mrs. Thatcher's daughter recently has been criticized for publicly discussing her mother's dementia. (Associated Press))   In Britain, it has long been an open secret that former prime minister Margaret Thatcher has been sliding into dementia. ""Open"" because old friends and political allies can all see the changes in the proud woman known as the Iron Lady, particularly since she suffered a series of mini-strokes in 2002 and withdrew from public speaking on her doctors' advice. And ""secret"" because no one has spoken publicly about it.   Until now. Last month her daughter, Carol Thatcher, revealed all to a newspaper, The Mail on Sunday. In an excerpt from her forthcoming memoir, ""A Swim-On Part in the Goldfish Bowl,"" Carol Thatcher not only announced that her mother, now 82, is suffering from dementia but offered excruciating evidence.   Sometimes Mrs. Thatcher forgets what she has eaten for breakfast, her daughter wrote. Once she conflated the Falklands War with the Bosnian conflict. Cruelly, she has had to be reminded repeatedly that her beloved husband, Denis, is dead. (He died in 2003.)  Carol Thatcher's heartbreak at seeing her formidable mother reduced to a confused old woman is all too familiar to anyone caring for a friend or relative suffering a similar fate. But Mrs. Thatcher is an iconic and larger-than-life figure -- ""far more than the sum of her parts,"" Vanessa Feltz wrote in the Daily Express -- and Britain is still a country where privacy, particularly in matters of health, is valued. Many people have reacted angrily to Carol Thatcher's disclosures.   In The Daily Telegraph, Andrew Pierce noted that Mrs. Thatcher's friends had purposely kept silent, in order to ""preserve the great lady's dignity and grace in a quiet, discreet way."" In The Daily Express, Anne Widdecombe, a Tory M.P., said, ""The only consolation, perhaps, is that Margaret Thatcher almost certainly does not know what her daughter has done."" And in The Sun, Kelvin MacKenzie raised the issue of who owns the reputation of a public figure like Mrs. Thatcher -- her family or the wider world?   ""My question is: why did Carol think it right to reveal her mother's plight, especially when none of her political friends had ever done so even in their political books?"" he asked. ""I can only conclude it was done for money. I hope she feels proud of herself."" And across the Atlantic, Ronald Reagan Jr. -- whose father publicly announced at age 82 that he was suffering from Alzheimer's disease -- called Carol Thatcher's detailed account ""in monumentally bad taste and unnecessary.""   But the debate doesn't end there.   On the one hand, it does seem to violate a proud woman's privacy to describe the sad diminishment of her formidable powers, particularly when she doesn't seem capable -- as President Reagan was -- of making the disclosures herself. On the other hand, it makes her poignantly human. Many of our parents will, in the end, suffer what she is suffering; many of us will, too, when our turn comes.   So why the secrecy and shame? Many people who have written to the British papers and posted on various Web sites have made robust arguments for speaking openly about one of the great taboos of our time. As a friend of mine put it, ""If you refuse to talk about it, you're treating it as something shameful,"" once the common response to cancer.   My friend is acquainted with a 71-year-old woman whose mind is slipping. Her husband knows it; her acquaintances know it; she herself knows it on some level, despite her doctor's euphemistic diagnosis. She anxiously asks whether she is repeating things (she is) and frets that she is forgetting what she used to remember (she is).   But she refuses to confront the obvious, and her friends have all been forced to join this conspiracy of silence. This means there is a lot of speculating and gossiping about her condition. How bad is it? Can we bring it up with her husband? What plans is she making for the future? At the same time, there is no real chance to acknowledge the reality or commiserate with the family's pain. ",,,The New York Times,[],[],2008-09-02T17:21:18+0000,article,None,Blogs,,Web Log,nyt://article/ace2012e-bd18-5bc5-8b1e-fe9d544d8712,817,nyt://article/ace2012e-bd18-5bc5-8b1e-fe9d544d8712,Thatcher’s Open Secret,The New Old Age,,Margaret Thatcher&#39;s Open Secret,,,,By JANE GROSS,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'GROSS', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Following up on the earlier discussion of exit strategies for Ponzi schemes, a look at archival coverage of the eponymous Charles Ponzi’s downfall.",https://economix.blogs.nytimes.com/2008/12/17/prowling-the-ponzi-archives/,"Following up on the earlier discussion of exit strategies for Ponzi schemes, a look at archival coverage of the eponymous Charles Ponzi’s downfall.","Earlier today I wrote about what the architects of Ponzi schemes — which, by definition, cannot end — might envision their exit strategies to be. After looking through The Times’s archival coverage of the eponymous Charles Ponzi’s downfall, I realized I left out another strategy: claiming “financial dementia.” ",,,The New York Times,[],[],2008-12-17T22:39:10+0000,article,Business,Business Day,Economy,News,nyt://article/b5283173-ba1d-5e45-8cc1-4cbd74a36526,61,nyt://article/b5283173-ba1d-5e45-8cc1-4cbd74a36526,Prowling the Ponzi Archives,Economix,,,,,,By Catherine Rampell,"[{'firstname': 'Catherine', 'middlename': None, 'lastname': 'Rampell', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
A YouTube video reminds us how good dancing makes you feel.,https://well.blogs.nytimes.com/2008/07/10/dance-even-if-nobody-is-watching/,A YouTube video reminds us how good dancing makes you feel.,"I am late to the Matt Harding fan club, but like four million other viewers before me, I can’t stop watching this man dance.",,,The New York Times,[],[],2008-07-10T17:33:49+0000,article,Science,Health,,,nyt://article/e203ffe5-b5ee-571f-b454-4922f7655f91,279,nyt://article/e203ffe5-b5ee-571f-b454-4922f7655f91,Dance Even if Nobody Is Watching,Well,,,,,,By Tara Parker-Pope,"[{'firstname': 'Tara', 'middlename': None, 'lastname': 'Parker-Pope', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Former British Prime Minister Margaret Thatcher has dementia, her daughter says. Is it right to discuss her condition publicly?",https://newoldage.blogs.nytimes.com/2008/09/02/margaret-thatchers-open-secret/,"Former British Prime Minister Margaret Thatcher has dementia, her daughter says. Is it right to discuss her condition publicly?","A colleague in The Times’s London bureau, Sarah Lyall, has just published a book called “The Anglo Files: A Field Guide to the British,” a cross-cultural look at what makes the British British, as seen though the eyes of an American expatriate with an English husband whom she describes as “something out of ‘Brideshead Revisited’.” Given Ms. Lyall’s perspective, I asked her thoughts on the recent revelation that former Prime Minister Margaret Thatcher, like President Ronald Reagan before her, is losing her mind and her memories to a form of dementia. Here are her observations, with a link to the story that is striking a chord on both sides of the Atlantic. — Jane Gross",,,The New York Times,[],[],2008-09-02T17:21:18+0000,article,Science,Health,,News,nyt://article/ca2b30cf-314d-5ec3-84a3-8022ba1cd5c9,792,nyt://article/ca2b30cf-314d-5ec3-84a3-8022ba1cd5c9,Margaret Thatcher’s Open Secret,The New Old Age,,,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
All of the 19 people for whom the state has issued bulletins since creating its program in November have been found.,https://www.nytimes.com/2008/12/18/us/18silver.html,All of the 19 people for whom the state has issued bulletins since creating its program in November have been found.,"MIAMI  Charlie Brownlee, who is 76 and suffers from dementia, staggered out of his sister’s Miami home barefoot one day last month and got behind the wheel of a car.",A,35,The New York Times,[],"[{'name': 'subject', 'value': 'Elderly', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Florida', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Missing Persons', 'rank': 3, 'major': 'N'}]",2008-12-18T02:19:52+0000,article,National,U.S.,,News,nyt://article/4df1afdd-8d39-536d-b506-9f77bfa6ce75,525,nyt://article/4df1afdd-8d39-536d-b506-9f77bfa6ce75,Florida Adopts ‘Silver Alerts’ for Mentally Impaired Elderly Who Wander Off,,,Florida Adopts ‘Silver Alerts’ for Mentally Impaired Elderly Who Wander Off,,,,By Carmen Gentile,"[{'firstname': 'Carmen', 'middlename': None, 'lastname': 'Gentile', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
The fine would settle a civil and criminal investigation into the company’s marketing of an antipsychotic drug.,https://www.nytimes.com/2008/01/31/business/31drug.html,The fine would settle a civil and criminal investigation into the company’s marketing of an antipsychotic drug.,Eli Lilly and federal prosecutors are discussing a settlement of a civil and criminal investigation into the company’s marketing of the antipsychotic drug Zyprexa that could result in Lilly’s paying more than $1 billion to federal and state governments.,A,1,The New York Times,[],"[{'name': 'subject', 'value': 'Suits and Litigation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Lilly, Eli, & Co', 'rank': 3, 'major': 'N'}]",2008-01-31T05:00:00+0000,article,Business,Business Day,,News,nyt://article/1b805e7c-a72f-5208-8ede-8956b8d76090,1048,nyt://article/1b805e7c-a72f-5208-8ede-8956b8d76090,Lilly Considers $1 Billion Fine to Settle Case,,,Lilly Considers $1 Billion Fine To Settle Case,,,,By Alex Berenson,"[{'firstname': 'Alex', 'middlename': None, 'lastname': 'Berenson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
A settlement of an inquiry into Lilly’s marketing of the an antipsychotic drug could result in the company’s paying more than $1 billion to federal and state governments.,https://www.nytimes.com/2008/01/30/business/30cnd-drug.html,A settlement of an inquiry into Lilly’s marketing of the an antipsychotic drug could result in the company’s paying more than $1 billion to federal and state governments.,Eli Lilly and federal prosecutors are discussing a settlement of a civil and criminal investigation into the company’s marketing of the antipsychotic drug Zyprexa that could result in Lilly’s paying more than $1 billion to federal and state governments.,,,The New York Times,[],"[{'name': 'subject', 'value': 'Suits and Litigation', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Lilly, Eli, & Co', 'rank': 3, 'major': 'N'}]",2008-01-30T05:00:00+0000,article,Business,Business Day,,News,nyt://article/41efe111-3b32-5083-a041-b1b7463e3b2e,1030,nyt://article/41efe111-3b32-5083-a041-b1b7463e3b2e,Lilly in Settlement Talks With U.S.,,,,,,,By Alex Berenson,"[{'firstname': 'Alex', 'middlename': None, 'lastname': 'Berenson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"NEW YORK — Happily married people tend to have lower blood pressure than their single peers, but being single may be healthier than being unhappily married, a new study suggests.",https://www.nytimes.com/2008/04/02/health/02iht-snvital.1.11612637.html,,"NEW YORK — Happily married people tend to have lower blood pressure than their single peers, but being single may be healthier than being unhappily married, a new study suggests.",,,International Herald Tribune,[],[],2008-04-02T05:00:00+0000,article,IHT News,Health,,News,nyt://article/2fe20583-085c-59dd-80b0-cbd4b2fd3bcc,590,nyt://article/2fe20583-085c-59dd-80b0-cbd4b2fd3bcc,Wedded bliss linked to lower blood pressure,,,Wedded bliss linked to lower blood pressure,,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
A geriatrician on what happens to us at the end of life.,https://newoldage.blogs.nytimes.com/2008/07/08/how-many-of-you-expect-to-die/,A geriatrician on what happens to us at the end of life.,"Not long ago Dr. Joanne Lynn, a geriatrician who pulls no punches in her frequent critiques of America’s sorry system of end-of-life care, looked out from the dais of a Washington, D.C., ballroom at a sea of middle-aged faces: health policymakers, legislative staff, advocates for the aged and for family caregivers — an audience of experts.",,,The New York Times,[],[],2008-07-08T11:53:00+0000,article,Science,Health,,News,nyt://article/6780fd44-63ab-5254-bd9c-2b0e50a395cb,645,nyt://article/6780fd44-63ab-5254-bd9c-2b0e50a395cb,‘How Many of You Expect to Die?’,The New Old Age,,,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Jessica Nicole Lerer is to be married this evening to Daniel Yunger, a son of Alisa and Herman Yunger of Lido Beach, N.Y.",https://www.nytimes.com/2008/05/25/fashion/weddings/25LERER.html,"Jessica Nicole Lerer is to be married this evening to Daniel Yunger, a son of Alisa and Herman Yunger of Lido Beach, N.Y.","Jessica Nicole Lerer, a daughter of Esther D. and Dr. Paul K. Lerer of Englewood, N.J., is to be married this evening to Daniel Yunger, a son of Alisa and Herman Yunger of Lido Beach, N.Y. Rabbi Daniel H. Mehlman is to officiate at the Hilton Rye Town in Rye Brook, N.Y. ",ST,14,The New York Times,[],"[{'name': 'subject', 'value': 'Weddings and Engagements', 'rank': 1, 'major': 'N'}]",2008-05-25T04:00:00+0000,article,Society,Fashion & Style,Weddings,News,nyt://article/ba4cebbb-e942-5ae3-b449-57b0a013faa6,142,nyt://article/ba4cebbb-e942-5ae3-b449-57b0a013faa6,"Jessica Lerer, Daniel Yunger",,,"Jessica Lerer, Daniel Yunger",,,,,[],,dementia
More of your “late night” jokes(send via the comment link below):,https://laughlines.blogs.nytimes.com/2008/03/28/bite-size-pieces-of-kosher-cardboard/,,More of your “late night” jokes(send via the comment link below):,,,The New York Times,[],[],2008-03-28T11:13:19+0000,article,,Week in Review,,News,nyt://article/11158b39-d23d-5af5-ac90-f9d6914707e8,124,nyt://article/11158b39-d23d-5af5-ac90-f9d6914707e8,‘Bite-Size Pieces of Kosher Cardboard’,Laugh Lines,,,,,,By Laugh Lines,"[{'firstname': 'Laugh', 'middlename': None, 'lastname': 'Lines', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"Is alcohol a tonic or a toxin? The question is especially critical to older people, whose overall medical picture gives alcohol the potential to be a health benefit or a life-shortening hazard.",https://www.nytimes.com/2008/12/18/health/18iht-snbrody.1.18718661.html,,"Is alcohol a tonic or a toxin? The question is especially critical to older people, whose overall medical picture gives alcohol the potential to be a health benefit or a life-shortening hazard.",,,International Herald Tribune,[],[],2008-12-16T05:00:00+0000,article,IHT News,Health,,News,nyt://article/8cb768a3-41e7-534a-92b6-a301a5f18eda,1025,nyt://article/8cb768a3-41e7-534a-92b6-a301a5f18eda,Alcohol and aging adults: Part of the problem or part of the cure?,,,Alcohol and aging adults: Part of the problem or part of the cure?,,,,By Jane E. Brody,"[{'firstname': 'Jane', 'middlename': 'E.', 'lastname': 'Brody', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Notable research studies now recruiting patients.,https://www.nytimes.com/ref/health/healthguide/esn-anxiety-trials.html,Notable research studies now recruiting patients.,"Government agencies, universities and corporations frequently enroll patients in studies designed to test the effectiveness of new drugs, procedures and medical devices. Participants may benefit by gaining access to experimental therapies, and they make an important contribution to scientific research. For more information, visit ClinicalTrials.gov, a service of the National Institutes of Health.",,,The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/08/28/health/clinicaltrialsfinal190.jpg', 'height': 278, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}]","[{'name': 'subject', 'value': 'ANXIETY', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Stress (Human)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Mental Health and Disorders', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}]",2008-07-09T04:00:00+0000,article,Science,Health,Health Guide,News,nyt://article/79f8f136-7589-519e-a3c3-b40417366664,451,nyt://article/79f8f136-7589-519e-a3c3-b40417366664,Selected Studies: Anxiety,Clinical Trials,,Selected Studies: Anxiety,,,,,[],,dementia
"Unable to accept new Medicare patients, a physician in Chicago resorts to a new kind of geriatric assessment. Is this the future of care for the elderly?",https://newoldage.blogs.nytimes.com/2008/10/16/when-medicare-falls-short/,"Unable to accept new Medicare patients, a physician in Chicago resorts to a new kind of geriatric assessment. Is this the future of care for the elderly?","For Dr. Cheryl E. Woodson, geriatric medicine is a passion that doesn’t pay the bills. ",,,The New York Times,[],[],2008-10-16T16:05:32+0000,article,Science,Health,,News,nyt://article/ef002094-903a-569d-a97d-c697203f3b43,1185,nyt://article/ef002094-903a-569d-a97d-c697203f3b43,When Medicare Falls Short,The New Old Age,,,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
"The Week in Review explores why codger jokes are huge in a campaign hypersensitive about race and gender. As readers of the late-night TV jokes posted here know, comics have gone to town on Senator John McCain: ",https://laughlines.blogs.nytimes.com/2008/03/09/so-this-geezer-walks-into-a-bar/,,"The Week in Review explores why codger jokes are huge in a campaign hypersensitive about race and gender. As readers of the late-night TV jokes posted here know, comics have gone to town on Senator John McCain: ",,,The New York Times,[],[],2008-03-09T06:21:56+0000,article,,Week in Review,,News,nyt://article/ef041ddf-013a-501b-ae19-e60c26b1efde,157,nyt://article/ef041ddf-013a-501b-ae19-e60c26b1efde,So This Geezer Walks Into a Bar …,Laugh Lines,,,,,,By Laugh Lines,"[{'firstname': 'Laugh', 'middlename': None, 'lastname': 'Lines', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
Silver Alert programs are modeled after the Amber Alert system for missing children.,https://newoldage.blogs.nytimes.com/2008/08/04/when-mom-goes-missing/,Silver Alert programs are modeled after the Amber Alert system for missing children.,"On Feb. 26, Mary Gill Zelter, 86 years old and showing early signs of dementia, signed herself out of the Regal Palms assisted living community near Clearwater, Fla., and headed to the grocery store, driving her Chrysler Sebring convertible. ",,,The New York Times,[],[],2008-08-04T14:31:06+0000,article,Science,Health,,News,nyt://article/dab9a205-9c18-5d9d-9b0d-6ee3a8d878de,529,nyt://article/dab9a205-9c18-5d9d-9b0d-6ee3a8d878de,When Mom Goes Missing,The New Old Age,,,,,,By Jane Gross,"[{'firstname': 'Jane', 'middlename': None, 'lastname': 'Gross', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,dementia
