abstract,web_url,snippet,lead_paragraph,source,multimedia,keywords,pub_date,document_type,news_desk,section_name,type_of_material,_id,word_count,slideshow_credits,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization,print_section,print_page,subsection_name,query_consulta
"Even in a healthy economy, continuing-care facilities, which offer resortlike amenities, can take three to five years to build.",https://www.nytimes.com/2010/11/21/realestate/21lizo.html,"Even in a healthy economy, continuing-care facilities, which offer resortlike amenities, can take three to five years to build.",Port Washington,The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/realestate/lizo/lizo-articleLarge.jpg', 'height': 350, 'width': 600, 'legacy': {'xlarge': 'images/2010/11/21/realestate/lizo/lizo-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 350}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/realestate/lizo/lizo-jumbo.jpg', 'height': 683, 'width': 1024, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/realestate/lizo/lizo-popup.jpg', 'height': 433, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/realestate/lizo/lizo-articleInline.jpg', 'height': 127, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/11/21/realestate/lizo/lizo-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/11/21/realestate/lizo/lizo-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'glocations', 'value': 'Long Island (NY)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Housing and Real Estate', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Retirement Communities and Assisted Living', 'rank': 3, 'major': 'N'}]",2010-11-18T22:27:36+0000,article,RealEstate,Real Estate,News,nyt://article/d43dcc45-c523-57f0-b126-8a29ec4fa607,1001,,nyt://article/d43dcc45-c523-57f0-b126-8a29ec4fa607,A Slow Rollout for Life-Care Communities,In the Region | Long Island,,Life Care in a Luxe Setting,,,,By Marcelle S. Fischler,"[{'firstname': 'Marcelle', 'middlename': 'S.', 'lastname': 'Fischler', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,RE,9,,Alzheimer
Ms. Wagner played the old-fashioned character Nancy Hughes on “As the World Turns” from its very first episode in 1956.,https://www.nytimes.com/2010/05/04/arts/04wagner.html,Ms. Wagner played the old-fashioned character Nancy Hughes on “As the World Turns” from its very first episode in 1956.,"“Good morning, dear,” the character Nancy Hughes said to her husband from her twin bed as the cameras rolled for the premiere of “As the World Turns” on April 2, 1956.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/03/arts/03wagnerimgB/03wagnerimgB-popup.jpg', 'height': 435, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/03/arts/03wagnerimgB/03wagnerimgB-articleInline.jpg', 'height': 184, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/05/03/arts/03wagnerimgB/03wagnerimgB-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/05/03/arts/03wagnerimgB/03wagnerimgB-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'persons', 'value': 'Wagner, Helen', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Television', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Actors and Actresses', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 4, 'major': 'N'}]",2010-05-04T03:38:49+0000,article,Culture,Arts,Obituary (Obit),nyt://article/194ae5cf-054e-5995-beee-15180dc9ee76,417,,nyt://article/194ae5cf-054e-5995-beee-15180dc9ee76,"Helen Wagner, Longtime Actress on ‘As the World Turns,’ Dies at 91",,,"Helen Wagner, 91, Stalwart On ‘As the World Turns’",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,28,,Alzheimer
An F.D.A. panel reviews an experimental anti-obesity drug.,https://prescriptions.blogs.nytimes.com/2010/12/06/the-week-ahead-in-drug-industry-news/,An F.D.A. panel reviews an experimental anti-obesity drug.,"Speculation about the real reasons behind the unexpected resignation Sunday of Pfizer’s chief executive and chairman, Jeffrey B. Kindler, is sure to fuel water-cooler conversations across the drug industry this week.",The New York Times,[],"[{'name': 'subject', 'value': 'Drugs (Pharmaceuticals)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Obesity', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Food and Drug Administration', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Orexigen Therapeutics Inc', 'rank': 4, 'major': 'N'}]",2010-12-06T16:16:31+0000,article,,Health,,nyt://article/e7e5d717-8845-5b67-98f6-2f7d1cd6e06d,472,,nyt://article/e7e5d717-8845-5b67-98f6-2f7d1cd6e06d,The Week Ahead in Drug Industry News,Prescriptions,,,,,,By Natasha Singer,"[{'firstname': 'Natasha', 'middlename': None, 'lastname': 'Singer', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Mr. Welles was a leading business journalist from the 1960s to the early 1980s, and led a prestigious fellowship program at Columbia.",https://www.nytimes.com/2010/06/23/business/media/23welles.html,"Mr. Welles was a leading business journalist from the 1960s to the early 1980s, and led a prestigious fellowship program at Columbia.","Chris Welles, an award-winning business reporter and former director of a prestigious fellowship program at Columbia for business reporters, died Saturday at a nursing home in Salisbury, Conn. He was 72 and lived in Brooklyn.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/24/nyregion/WELLES-obi/WELLES-obi-popup.jpg', 'height': 500, 'width': 388, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/24/nyregion/WELLES-obi/WELLES-obi-articleInline.jpg', 'height': 245, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/24/nyregion/WELLES-obi/WELLES-obi-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/24/nyregion/WELLES-obi/WELLES-obi-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Writing and Writers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Journalism Schools', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}]",2010-06-23T01:03:44+0000,article,Business,Business Day,Obituary (Obit),nyt://article/a1d47317-ef26-5ae8-8a80-997a9d249f77,433,,nyt://article/a1d47317-ef26-5ae8-8a80-997a9d249f77,"Chris Welles, Award-Winning Business Writer, Dies at 72",,,"Chris Welles, Award-Winning Business Writer",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,B,18,Media,Alzheimer
"“I wondered whether human music had been shaped for our brains by evolution — meaning, it helped us survive.”",https://www.nytimes.com/2010/06/01/science/01conv.html,"“I wondered whether human music had been shaped for our brains by evolution — meaning, it helped us survive.”","Three years ago, when Oxford University Press published “Music, Language, and the Brain,” Oliver Sacks described it as “a major synthesis that will be indispensable to neuroscientists.” The author of that volume, Aniruddh D. Patel, a 44-year-old senior fellow at the Neurosciences Institute in San Diego, was in New York City in May. We spoke over coffee for more than an hour and later by telephone. An edited and condensed version of the conversations follows.",The New York Times,"[{'rank': 0, 'subtype': 'xlarge', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/science/01conv/01conv-articleLarge.jpg', 'height': 315, 'width': 600, 'legacy': {'xlarge': 'images/2010/06/01/science/01conv/01conv-articleLarge.jpg', 'xlargewidth': 600, 'xlargeheight': 315}, 'subType': 'xlarge', 'crop_name': 'articleLarge'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/science/01conv/01conv-articleLarge.jpg', 'height': 315, 'width': 600, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'sfSpan', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/science/01conv/01conv-sfSpan.jpg', 'height': 250, 'width': 395, 'legacy': {}, 'subType': 'sfSpan', 'crop_name': 'sfSpan'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/01/science/01conv/01conv-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/01/science/01conv/01conv-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Music', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Memory', 'rank': 3, 'major': 'N'}]",2010-05-31T19:08:58+0000,article,Science,Science,Question,nyt://article/fc70deab-c8d7-536b-a43e-c99bfc70cff8,1146,,nyt://article/fc70deab-c8d7-536b-a43e-c99bfc70cff8,Exploring Music’s Hold on the Mind,A Conversation With Aniruddh D. Patel,,,,,,By Claudia Dreifus,"[{'firstname': 'Claudia', 'middlename': None, 'lastname': 'Dreifus', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,2,,Alzheimer
A juror’s complaint of feeling intimidated during deliberations in the Brooke Astor trial was not enough to justify setting aside convictions.,https://cityroom.blogs.nytimes.com/2010/07/29/judge-refuses-to-vacate-verdicts-in-astor-trial/,A juror’s complaint of feeling intimidated during deliberations in the Brooke Astor trial was not enough to justify setting aside convictions.," Updated 5:00 p.m. |The judge in the trial of Brooke Astor’s son denied a defense motion to vacate convictions against him and a lawyer who had done estate planning for Mrs. Astor, the doyenne of Manhattan society until her death in 2007.",The New York Times,[],[],2010-07-29T16:16:40+0000,article,Metro,New York,,nyt://article/896393f3-d7a5-559e-94b8-0c04ee882efc,493,,nyt://article/896393f3-d7a5-559e-94b8-0c04ee882efc,Judge Refuses to Vacate Verdicts in Astor Trial,City Room,,,,,,By James Barron,"[{'firstname': 'James', 'middlename': None, 'lastname': 'Barron', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
Student Opinion | What quirky rituals or “lucky” objects help you prepare for important events?,https://learning.blogs.nytimes.com/2010/11/05/student-opinion-what-are-your-personal-superstitions/,Student Opinion | What quirky rituals or “lucky” objects help you prepare for important events?,"With the New York City Marathon just two days away, runners have been revealing some of the superstitions and rituals that they believe will affect how well they will run those famous 26.2 miles. What do you think about this? Can months and months of grueling training really come down to a lit candle or a certain number appearing — or not — on a runner’s race bib? What superstitions do you follow, and why?",The New York Times,[],[],2010-11-05T08:37:52+0000,article,,Education,,nyt://article/5303e121-a615-5ae2-aa8c-574d8a580238,518,,nyt://article/5303e121-a615-5ae2-aa8c-574d8a580238,What Are Your Personal Superstitions?,The Learning Network,,,,,,By Shannon Doyne,"[{'firstname': 'Shannon', 'middlename': None, 'lastname': 'Doyne', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"The hidden world of debit card fees, a 92-year-old beauty contestant, lax safety along highway work zones and repair workers left hanging.",https://lens.blogs.nytimes.com/2010/01/08/must-34/,"The hidden world of debit card fees, a 92-year-old beauty contestant, lax safety along highway work zones and repair workers left hanging.",,The New York Times,[],[],2010-01-08T19:14:24+0000,article,,Multimedia/Photos,,nyt://article/9d9caa3b-0fb1-555f-8c10-523dc6dd76fc,489,,nyt://article/9d9caa3b-0fb1-555f-8c10-523dc6dd76fc,"Must See: Costly Cards, Danger Zones",Lens,,,,,,By Erik Olsen and Kassie Bracken,"[{'firstname': 'Erik', 'middlename': None, 'lastname': 'Olsen', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Kassie', 'middlename': None, 'lastname': 'Bracken', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",,,,,Alzheimer
"Dr. Mark Willenbring discusses the potential benefits of moderate drinking, alcohol, grape juice and resveratrol.",https://consults.blogs.nytimes.com/2010/02/18/is-a-drink-a-day-good-for-you-is-grape-juice-as-good-as-wine/,"Dr. Mark Willenbring discusses the potential benefits of moderate drinking, alcohol, grape juice and resveratrol.","Dr. Mark L. Willenbring, the former director of the Treatment and Recovery Research Division of the National Institute on Alcohol Abuse and Alcoholism, previously responded to reader questions about alcohol use in “A New View of Alcoholism.” Here, he addresses one reader’s question about the health benefits of drinking.",The New York Times,[],[],2010-02-18T15:55:31+0000,article,,Health,,nyt://article/79662dc3-62e0-5e5a-957a-94702c1e794a,482,,nyt://article/79662dc3-62e0-5e5a-957a-94702c1e794a,Should Doctors ‘Prescribe’ a Drink a Day?,Consults,,,,,,"By Mark Willenbring, M.D","[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Willenbring', 'qualifier': 'M.D', 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"Mr. Bartlett was among the first to enable hundreds, and later thousands, of brokers working from their own offices to compete with regional and national chains.",https://www.nytimes.com/2010/01/07/business/07bartlett.html,"Mr. Bartlett was among the first to enable hundreds, and later thousands, of brokers working from their own offices to compete with regional and national chains.","Art Bartlett, a founder of Century 21, the real estate franchising giant whose brand name eventually appeared on “For Sale” signs on lawns throughout the country and even abroad, died on Dec. 31 at his home in Coronado, Calif. He was 76. The cause was complications of Alzheimer’s disease, his daughter, Stacy Bartlett Renshaw, said.",The New York Times,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/07/obituaries/07barlettimg/articleInline.jpg', 'height': 277, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/07/obituaries/07barlettimg/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/01/07/obituaries/07barlettimg/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Franchises', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Century 21', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Housing and Real Estate', 'rank': 4, 'major': 'N'}]",2010-01-07T04:04:19+0000,article,Business,Business Day,Obituary (Obit),nyt://article/a1e19f79-da4c-58f7-aa7e-c8661b0ad9b7,480,,nyt://article/a1e19f79-da4c-58f7-aa7e-c8661b0ad9b7,"Art Bartlett, Founder of Century 21 Real Estate, Dies at 76",,,"Art Bartlett, Founder of Century 21 Real Estate, Dies at 76",,,,By Dennis Hevesi,"[{'firstname': 'Dennis', 'middlename': None, 'lastname': 'Hevesi', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,,,,Alzheimer
"In this first novel, a widowed research scientist tries to solve the puzzle of his marriage.",https://www.nytimes.com/2010/08/22/books/review/Thompson-t.html,"In this first novel, a widowed research scientist tries to solve the puzzle of his marriage.","In fiction as in life, you can’t save people from themselves. Although that never keeps anyone from trying, as Rosecrans Baldwin’s amiable first novel demonstrates. Dr. Victor Aaron is 58 years old, a research scientist specializing in Alzheimer’s disease at a small (but well endowed) college on Mount Desert Island in Maine. Almost three years earlier, he lost his wife, Sara, in a car accident. They had no children. Everyone around Victor is concerned about him, and with good reason. His response to Sara’s death is not so much stoic as anesthetized. He goes about his routines of healthy breakfast, swimming, work and more work, seeming increasingly numb and remote. As another character puts it, “Your wife had died and everyone knew but you.”",The New York Times,"[{'rank': 0, 'subtype': 'jumbo', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/22/books/review/Thompson/Thompson-jumbo.jpg', 'height': 1024, 'width': 681, 'legacy': {}, 'subType': 'jumbo', 'crop_name': 'jumbo'}, {'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/22/books/review/Thompson/Thompson-popup.jpg', 'height': 500, 'width': 332, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/22/books/review/Thompson/Thompson-articleInline.jpg', 'height': 286, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/22/books/review/Thompson/Thompson-thumbStandard-v2.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/08/22/books/review/Thompson/Thompson-thumbStandard-v2.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Marriages', 'rank': 2, 'major': 'N'}]",2010-08-20T15:56:49+0000,article,BookReview,Books,Review,nyt://article/4a0e7bf4-960d-56f7-9517-ad8165b33d4d,1226,,nyt://article/4a0e7bf4-960d-56f7-9517-ad8165b33d4d,"She Remembered, He Remembered",,,"She Remembered, He Remembered",,,,By Jean Thompson,"[{'firstname': 'Jean', 'middlename': None, 'lastname': 'Thompson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,BR,11,Book Review,Alzheimer
The disease was called “shaking palsy” before it took the name of James Parkinson.,https://www.nytimes.com/2010/08/24/health/24first.html,The disease was called “shaking palsy” before it took the name of James Parkinson.,"Parkinson’s disease is second only to Alzheimer’s as the most common neurological illness in the United States, and its symptoms  rigidity, imbalance and uncontrollable shaking  are all too familiar. By the time James Parkinson formally described it in 1817, the illness had been known for centuries.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/24/health/24first/24first-popup.jpg', 'height': 600, 'width': 383, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/24/health/24first/24first-articleInline.jpg', 'height': 260, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/08/24/health/24first/24first-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/08/24/health/24first/24first-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': ""Parkinson's Disease"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Brain', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 3, 'major': 'N'}]",2010-08-23T19:43:07+0000,article,Science,Health,News,nyt://article/424fe79c-c44b-5b62-a00a-417df59c7e94,604,,nyt://article/424fe79c-c44b-5b62-a00a-417df59c7e94,"Parkinson’s Disease, 1858",First Mention,,"Parkinson’s Disease, 1858",,,,By Nicholas Bakalar,"[{'firstname': 'Nicholas', 'middlename': None, 'lastname': 'Bakalar', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,D,7,,Alzheimer
Mr. Sarkisyan became famous for his campaigns to preserve architectural monuments against rampant post-Soviet development.,https://www.nytimes.com/2010/01/20/arts/design/20sarkisyan.html,Mr. Sarkisyan became famous for his campaigns to preserve architectural monuments against rampant post-Soviet development.,"MOSCOW  David Sarkisyan, a former physiologist and film director who became famous as the director of the Shchusev State Museum of Architecture here and for his campaigns to preserve architectural monuments against rampant post-Soviet development, died on Jan. 7 in Munich, where he had been hospitalized. He was 62. ",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/26/arts/26sarkisyan_CA0/popup.jpg', 'height': 958, 'width': 650, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/26/arts/26sarkisyan_CA0/articleInline.jpg', 'height': 274, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/01/26/arts/26sarkisyan_CA0/thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/01/26/arts/26sarkisyan_CA0/thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'organizations', 'value': 'Museum of Architecture', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Art', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Buildings (Structures)', 'rank': 4, 'major': 'N'}]",2010-01-19T22:00:03+0000,article,Culture,Arts,Obituary (Obit),nyt://article/74678b21-82af-57cc-80f5-32bbd8b046a7,553,,nyt://article/74678b21-82af-57cc-80f5-32bbd8b046a7,"David Sarkisyan, Champion of Moscow Architecture, Dies at 62",,,"David Sarkisyan, 62, Moscow Preservationist",,,,By Sophia Kishkovsky,"[{'firstname': 'Sophia', 'middlename': None, 'lastname': 'Kishkovsky', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,25,Art & Design,Alzheimer
Ms. Chinoy documented the contributions of women to American drama.,https://www.nytimes.com/2010/06/06/theater/06chinoy.html,Ms. Chinoy documented the contributions of women to American drama.,"Helen Krich Chinoy, a theater historian who collected the views of actors and directors about their crafts and documented the contributions of women to the American theater, died May 24 in Turners Falls, Mass. She was 87.",The New York Times,"[{'rank': 0, 'subtype': 'popup', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/08/arts/08chinoyimg/08chinoyimg-popup.jpg', 'height': 500, 'width': 340, 'legacy': {}, 'subType': 'popup', 'crop_name': 'popup'}, {'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/08/arts/08chinoyimg/08chinoyimg-articleInline.jpg', 'height': 280, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2010/06/08/arts/08chinoyimg/08chinoyimg-thumbStandard.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2010/06/08/arts/08chinoyimg/08chinoyimg-thumbStandard.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","[{'name': 'subject', 'value': 'Women and Girls', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Theater', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Deaths (Obituaries)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Actors and Actresses', 'rank': 4, 'major': 'N'}]",2010-06-06T00:45:30+0000,article,Culture,Theater,Obituary (Obit),nyt://article/cacb1a6d-f8bd-5da0-a227-e039245e9a20,544,,nyt://article/cacb1a6d-f8bd-5da0-a227-e039245e9a20,"Helen K. Chinoy, Theater Historian and Educator, Dies at 87",,,"Helen Chinoy, A Historian of Theater, Dies at 87",,,,By Bruce Weber,"[{'firstname': 'Bruce', 'middlename': None, 'lastname': 'Weber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",,A,29,,Alzheimer
